,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
p_pain[129],0.832,0.045,0.744,0.909,0.0,0.0,47002.0,18386.0,1.0
p_pain[130],0.968,0.018,0.935,0.994,0.0,0.0,36991.0,18698.0,1.0
p_pain[131],0.55,0.061,0.436,0.665,0.0,0.0,35620.0,16890.0,1.0
p_pain[132],0.972,0.017,0.941,0.997,0.0,0.0,41075.0,18338.0,1.0
p_pain[133],0.95,0.024,0.906,0.987,0.0,0.0,40432.0,18378.0,1.0
p_pain[134],0.45,0.074,0.31,0.585,0.0,0.0,31108.0,14607.0,1.0
p_pain[135],0.982,0.012,0.96,0.998,0.0,0.0,34057.0,18684.0,1.0
p_pain[136],0.698,0.068,0.573,0.824,0.0,0.0,42929.0,18236.0,1.0
p_pain[137],0.13,0.057,0.034,0.234,0.0,0.0,25639.0,14618.0,1.0
p_pain[138],0.172,0.061,0.066,0.286,0.0,0.0,25735.0,14128.0,1.0
p_pain[139],0.928,0.03,0.871,0.978,0.0,0.0,43751.0,18608.0,1.0
p_pain[140],0.98,0.013,0.956,0.998,0.0,0.0,38839.0,18676.0,1.0
p_pain[141],0.787,0.038,0.717,0.86,0.0,0.0,43751.0,18608.0,1.0
p_pain[142],0.995,0.005,0.986,1.0,0.0,0.0,32983.0,18708.0,1.0
p_pain[143],0.888,0.035,0.822,0.951,0.0,0.0,42288.0,18703.0,1.0
p_pain[144],0.326,0.057,0.221,0.435,0.0,0.0,26702.0,13553.0,1.0
p_pain[145],0.366,0.082,0.214,0.517,0.0,0.0,28976.0,14914.0,1.0
p_pain[146],0.991,0.007,0.978,0.999,0.0,0.0,34858.0,18683.0,1.0
p_pain[147],0.474,0.038,0.404,0.545,0.0,0.0,31108.0,14607.0,1.0
p_pain[148],0.928,0.03,0.871,0.978,0.0,0.0,43751.0,18608.0,1.0
p_pain[149],0.991,0.007,0.978,0.999,0.0,0.0,34858.0,18683.0,1.0
p_pain[150],0.233,0.063,0.117,0.348,0.0,0.0,25968.0,13769.0,1.0
p_pain[151],0.972,0.017,0.941,0.997,0.0,0.0,41075.0,18338.0,1.0
p_pain[152],0.832,0.045,0.744,0.909,0.0,0.0,47002.0,18386.0,1.0
p_pain[153],0.698,0.068,0.573,0.824,0.0,0.0,42929.0,18236.0,1.0
p_pain[154],0.366,0.082,0.214,0.517,0.0,0.0,28976.0,14914.0,1.0
