,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
p_pain[121],0.615,0.073,0.509,0.723,0.032,0.024,6.0,15.0,3.3
p_pain[122],0.936,0.104,0.728,1.0,0.046,0.035,6.0,15.0,2.89
p_pain[123],0.919,0.118,0.685,1.0,0.053,0.04,6.0,15.0,3.25
p_pain[124],0.773,0.117,0.549,0.888,0.052,0.039,6.0,11.0,2.58
p_pain[125],0.817,0.167,0.539,1.0,0.074,0.056,5.0,11.0,3.84
p_pain[126],0.584,0.039,0.513,0.631,0.017,0.013,6.0,11.0,2.56
p_pain[127],0.66,0.073,0.525,0.746,0.032,0.024,6.0,11.0,2.56
p_pain[128],0.721,0.098,0.537,0.826,0.043,0.032,6.0,11.0,2.57
p_pain[129],0.722,0.098,0.537,0.827,0.043,0.032,6.0,11.0,2.57
p_pain[130],0.775,0.117,0.55,0.891,0.052,0.039,6.0,11.0,2.57
p_pain[131],0.658,0.072,0.525,0.741,0.032,0.024,6.0,11.0,2.57
p_pain[132],0.813,0.129,0.562,0.93,0.057,0.043,6.0,11.0,2.58
p_pain[133],0.773,0.117,0.55,0.889,0.052,0.039,6.0,11.0,2.57
p_pain[134],0.657,0.072,0.525,0.74,0.031,0.024,6.0,11.0,2.57
p_pain[135],0.846,0.162,0.551,1.0,0.072,0.054,5.0,11.0,3.85
p_pain[136],0.721,0.098,0.537,0.826,0.043,0.032,6.0,11.0,2.57
p_pain[137],0.582,0.039,0.512,0.629,0.017,0.013,6.0,11.0,2.57
p_pain[138],0.583,0.039,0.513,0.63,0.017,0.013,6.0,11.0,2.56
p_pain[139],0.773,0.117,0.55,0.888,0.052,0.039,6.0,11.0,2.57
p_pain[140],0.813,0.129,0.562,0.93,0.057,0.043,6.0,11.0,2.58
p_pain[141],0.781,0.178,0.526,1.0,0.08,0.06,5.0,11.0,3.82
p_pain[142],0.868,0.159,0.564,1.0,0.071,0.053,5.0,11.0,3.85
p_pain[143],0.723,0.099,0.537,0.831,0.043,0.033,6.0,11.0,2.56
p_pain[144],0.586,0.04,0.513,0.637,0.017,0.013,6.0,11.0,2.6
p_pain[145],0.657,0.072,0.525,0.739,0.031,0.024,6.0,11.0,2.57
p_pain[146],0.814,0.13,0.562,0.932,0.057,0.043,6.0,11.0,2.57
p_pain[147],0.737,0.198,0.514,1.0,0.088,0.066,5.0,11.0,3.77
p_pain[148],0.773,0.117,0.55,0.888,0.052,0.039,6.0,11.0,2.57
p_pain[149],0.814,0.13,0.562,0.932,0.057,0.043,6.0,11.0,2.57
p_pain[150],0.584,0.039,0.513,0.631,0.017,0.013,6.0,11.0,2.56
p_pain[151],0.813,0.129,0.562,0.93,0.057,0.043,6.0,11.0,2.58
p_pain[152],0.722,0.098,0.537,0.827,0.043,0.032,6.0,11.0,2.57
p_pain[153],0.721,0.098,0.537,0.826,0.043,0.032,6.0,11.0,2.57
p_pain[154],0.657,0.072,0.525,0.739,0.031,0.024,6.0,11.0,2.57
p_pain[155],0.813,0.129,0.562,0.93,0.057,0.043,6.0,11.0,2.58
p_pain[156],0.773,0.117,0.55,0.889,0.052,0.039,6.0,11.0,2.57
p_pain[157],0.658,0.072,0.525,0.741,0.032,0.024,6.0,11.0,2.57
p_pain[158],0.813,0.129,0.562,0.931,0.057,0.043,6.0,11.0,2.57
p_pain[159],0.775,0.117,0.55,0.891,0.052,0.039,6.0,11.0,2.57
p_pain[160],0.868,0.159,0.564,1.0,0.071,0.053,5.0,11.0,3.85
p_pain[161],0.737,0.198,0.514,1.0,0.088,0.066,5.0,11.0,3.77
p_pain[162],0.582,0.039,0.512,0.629,0.017,0.013,6.0,11.0,2.57
p_pain[163],0.817,0.167,0.539,1.0,0.074,0.056,5.0,11.0,3.84
p_pain[164],0.657,0.072,0.525,0.74,0.031,0.024,6.0,11.0,2.57
p_pain[165],0.721,0.098,0.537,0.826,0.043,0.032,6.0,11.0,2.57
p_pain[166],0.586,0.04,0.513,0.637,0.017,0.013,6.0,11.0,2.6
p_pain[167],0.846,0.162,0.551,1.0,0.072,0.054,5.0,11.0,3.85
p_pain[168],0.773,0.117,0.549,0.888,0.052,0.039,6.0,11.0,2.58
p_pain[169],0.583,0.039,0.513,0.63,0.017,0.013,6.0,11.0,2.56
p_pain[170],0.66,0.073,0.525,0.746,0.032,0.024,6.0,11.0,2.56
p_pain[171],0.781,0.178,0.526,1.0,0.08,0.06,5.0,11.0,3.82
