,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
p_pain[4114],0.833,0.037,0.763,0.901,0.0,0.0,24091.0,16499.0,1.0
p_pain[4115],0.865,0.068,0.737,0.97,0.0,0.0,33661.0,16898.0,1.0
p_pain[4116],0.93,0.028,0.879,0.977,0.0,0.0,29525.0,18091.0,1.0
p_pain[4117],0.999,0.001,0.998,1.0,0.0,0.0,24278.0,16426.0,1.0
p_pain[4118],0.99,0.008,0.976,1.0,0.0,0.0,23884.0,16153.0,1.0
p_pain[4119],0.998,0.003,0.993,1.0,0.0,0.0,23858.0,16153.0,1.0
p_pain[4120],0.23,0.111,0.051,0.442,0.001,0.001,18124.0,9280.0,1.0
p_pain[4121],0.959,0.021,0.919,0.991,0.0,0.0,23933.0,16280.0,1.0
p_pain[4122],0.999,0.001,0.998,1.0,0.0,0.0,24278.0,16426.0,1.0
p_pain[4123],0.992,0.007,0.979,1.0,0.0,0.0,30849.0,17833.0,1.0
p_pain[4124],0.731,0.036,0.665,0.8,0.0,0.0,36560.0,19072.0,1.0
p_pain[4125],0.999,0.001,0.998,1.0,0.0,0.0,23844.0,16188.0,1.0
p_pain[4126],0.93,0.028,0.879,0.977,0.0,0.0,29525.0,18091.0,1.0
p_pain[4127],0.999,0.001,0.997,1.0,0.0,0.0,25754.0,17268.0,1.0
p_pain[4128],0.983,0.011,0.963,0.999,0.0,0.0,27437.0,17724.0,1.0
p_pain[4129],0.996,0.004,0.989,1.0,0.0,0.0,26369.0,17640.0,1.0
p_pain[4130],0.531,0.072,0.391,0.662,0.0,0.0,22895.0,11286.0,1.0
p_pain[4131],0.992,0.007,0.98,1.0,0.0,0.0,35774.0,18503.0,1.0
p_pain[4132],0.809,0.036,0.74,0.876,0.0,0.0,26972.0,17599.0,1.0
p_pain[4133],0.997,0.003,0.992,1.0,0.0,0.0,24416.0,16463.0,1.0
p_pain[4134],0.998,0.002,0.994,1.0,0.0,0.0,29172.0,18225.0,1.0
p_pain[4135],0.576,0.131,0.336,0.82,0.001,0.001,23303.0,11255.0,1.0
p_pain[4136],0.833,0.037,0.763,0.901,0.0,0.0,24091.0,16499.0,1.0
p_pain[4137],0.967,0.023,0.926,0.997,0.0,0.0,37360.0,18786.0,1.0
p_pain[4138],0.989,0.009,0.973,0.999,0.0,0.0,24657.0,16662.0,1.0
p_pain[4139],0.964,0.02,0.928,0.994,0.0,0.0,33882.0,18185.0,1.0
p_pain[4140],0.865,0.068,0.737,0.97,0.0,0.0,33661.0,16898.0,1.0
