,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
p_pain[3315],0.996,0.004,0.989,1.0,0.0,0.0,9198.0,5813.0,1.0
p_pain[3316],0.839,0.075,0.7,0.966,0.001,0.001,9356.0,4902.0,1.0
p_pain[3317],0.868,0.061,0.753,0.969,0.001,0.0,9274.0,4936.0,1.0
p_pain[3318],0.974,0.015,0.947,0.997,0.0,0.0,9103.0,5188.0,1.0
p_pain[3319],0.999,0.002,0.996,1.0,0.0,0.0,9152.0,6138.0,1.0
p_pain[3320],0.986,0.01,0.969,0.999,0.0,0.0,9151.0,5638.0,1.0
p_pain[3321],0.998,0.003,0.993,1.0,0.0,0.0,9176.0,5988.0,1.0
p_pain[3322],0.991,0.008,0.977,1.0,0.0,0.0,9167.0,5796.0,1.0
p_pain[3323],0.965,0.019,0.931,0.995,0.0,0.0,9046.0,4983.0,1.0
p_pain[3324],0.99,0.008,0.975,1.0,0.0,0.0,9163.0,5792.0,1.0
p_pain[3325],0.992,0.007,0.98,1.0,0.0,0.0,9183.0,5926.0,1.0
p_pain[3326],0.962,0.021,0.925,0.994,0.0,0.0,9037.0,4973.0,1.0
p_pain[3327],0.981,0.012,0.958,0.998,0.0,0.0,9096.0,5429.0,1.0
p_pain[3328],0.949,0.026,0.903,0.99,0.0,0.0,9022.0,4779.0,1.0
p_pain[3329],0.976,0.014,0.95,0.997,0.0,0.0,9211.0,5325.0,1.0
p_pain[3330],0.994,0.005,0.985,1.0,0.0,0.0,9200.0,5794.0,1.0
p_pain[3331],0.932,0.033,0.874,0.987,0.0,0.0,9061.0,4787.0,1.0
p_pain[3332],0.882,0.035,0.814,0.943,0.0,0.0,11896.0,5293.0,1.0
p_pain[3333],0.78,0.044,0.701,0.862,0.0,0.0,12522.0,5378.0,1.0
p_pain[3334],0.925,0.028,0.872,0.974,0.0,0.0,11691.0,5228.0,1.0
p_pain[3335],0.366,0.06,0.261,0.485,0.001,0.0,11698.0,5472.0,1.0
p_pain[3336],0.678,0.048,0.584,0.761,0.0,0.0,13166.0,5718.0,1.0
p_pain[3337],0.948,0.023,0.904,0.985,0.0,0.0,11578.0,5471.0,1.0
p_pain[3338],0.104,0.043,0.034,0.188,0.0,0.0,11069.0,4533.0,1.0
p_pain[3339],0.592,0.051,0.496,0.685,0.0,0.0,13104.0,6578.0,1.0
p_pain[3340],0.52,0.054,0.422,0.625,0.0,0.0,12695.0,6106.0,1.0
p_pain[3341],0.081,0.038,0.024,0.157,0.0,0.0,11061.0,4504.0,1.0
p_pain[3342],0.797,0.043,0.721,0.879,0.0,0.0,12402.0,5228.0,1.0
p_pain[3343],0.396,0.059,0.29,0.511,0.001,0.0,11875.0,5512.0,1.0
p_pain[3344],0.493,0.055,0.391,0.598,0.0,0.0,12522.0,5938.0,1.0
p_pain[3345],0.977,0.014,0.951,0.997,0.0,0.0,11429.0,5452.0,1.0
p_pain[3346],0.895,0.034,0.829,0.951,0.0,0.0,11844.0,5205.0,1.0
p_pain[3347],0.839,0.04,0.764,0.91,0.0,0.0,12120.0,5210.0,1.0
p_pain[3348],0.989,0.008,0.975,0.999,0.0,0.0,11342.0,5436.0,1.0
p_pain[3349],0.286,0.06,0.178,0.403,0.001,0.0,11353.0,4858.0,1.0
p_pain[3350],0.705,0.047,0.624,0.798,0.0,0.0,13018.0,5515.0,1.0
p_pain[3351],0.214,0.057,0.107,0.321,0.001,0.0,11172.0,4517.0,1.0
p_pain[3352],0.932,0.027,0.881,0.977,0.0,0.0,11657.0,5245.0,1.0
p_pain[3353],0.966,0.018,0.934,0.994,0.0,0.0,11489.0,5452.0,1.0
p_pain[3354],0.962,0.019,0.928,0.992,0.0,0.0,11512.0,5491.0,1.0
p_pain[3355],0.232,0.059,0.136,0.355,0.001,0.0,11199.0,4726.0,1.0
p_pain[3356],0.286,0.06,0.178,0.403,0.001,0.0,11353.0,4858.0,1.0
p_pain[3357],0.966,0.018,0.934,0.994,0.0,0.0,11489.0,5452.0,1.0
p_pain[3358],0.104,0.043,0.034,0.188,0.0,0.0,11069.0,4533.0,1.0
p_pain[3359],0.797,0.043,0.721,0.879,0.0,0.0,12402.0,5228.0,1.0
p_pain[3360],0.989,0.008,0.975,0.999,0.0,0.0,11342.0,5436.0,1.0
p_pain[3361],0.932,0.027,0.881,0.977,0.0,0.0,11657.0,5245.0,1.0
p_pain[3362],0.705,0.047,0.624,0.798,0.0,0.0,13018.0,5515.0,1.0
p_pain[3363],0.141,0.05,0.057,0.239,0.001,0.0,11095.0,4413.0,1.0
p_pain[3364],0.895,0.034,0.829,0.951,0.0,0.0,11844.0,5205.0,1.0
p_pain[3365],0.366,0.06,0.261,0.485,0.001,0.0,11698.0,5472.0,1.0
p_pain[3366],0.948,0.023,0.904,0.985,0.0,0.0,11578.0,5471.0,1.0
p_pain[3367],0.962,0.019,0.928,0.992,0.0,0.0,11512.0,5491.0,1.0
p_pain[3368],0.882,0.035,0.814,0.943,0.0,0.0,11896.0,5293.0,1.0
p_pain[3369],0.52,0.054,0.422,0.625,0.0,0.0,12695.0,6106.0,1.0
p_pain[3370],0.678,0.048,0.584,0.761,0.0,0.0,13166.0,5718.0,1.0
