participant,painstim,moneystim,all_trials_rewards,painlevel,painlevel_J,leftstim,rightstim,acceptside,acceptkey,accepted,choice_resp.keys,choice_resp.rt,blocks.thisRepN,trials.thisN,TaskName,P1,P2,P3,P4,P5,fail_ma,fixduration,moneylevel,rt,response,subj_idx,acceptance_pair,OV_value,Abs_value,OV_Money_Pain,Abs_Money_Pain,fixduration,moneylevel,sv_money,sv_pain,sv_both,p_pain_all
sub-002,p5,m5,,5,66000.0,stimuli/m5.png,stimuli/p5.png,right,m,1.0,m,0.5350167000015063,1.0,3.0,decision,205.0,305.0,415.0,530.0,660.0,700.0,1.9,5,0.5350167000015063,1.0,sub-002,I,high_OV,low_abs,h_OV_h_pain,low_abs_h_pain,1.9,5,5,1.166666666666662,-3.833333333333337,1.0
sub-002,p3,m2,,3,41500.0,stimuli/m2.png,stimuli/p3.png,right,m,1.0,m,0.7264359000000695,1.0,4.0,decision,205.0,305.0,415.0,530.0,660.0,700.0,1.7,2,0.7264359000000695,1.0,sub-002,P,low_OV,low_abs,low_OV_h_pain,low_abs_h_pain,1.7,2,2,0.6999999999999974,-1.300000000000002,1.0
sub-002,p3,m1,,3,41500.0,stimuli/p3.png,stimuli/m1.png,right,m,1.0,m,0.4941044000006513,1.0,5.0,decision,205.0,305.0,415.0,530.0,660.0,700.0,1.5,1,0.4941044000006513,1.0,sub-002,P,low_OV,mid_abs,low_OV_h_pain,mid_abs,1.5,1,1,0.6999999999999974,-0.3000000000000026,1.0
sub-002,p4,m1,,4,53000.0,stimuli/m1.png,stimuli/p4.png,right,m,1.0,m,1.6311606999988726,1.0,6.0,decision,205.0,305.0,415.0,530.0,660.0,700.0,1.9,1,1.6311606999988726,1.0,sub-002,P,low_OV,high_abs,low_OV_h_pain,high_abs_h_pain,1.9,1,1,0.9333333333333299,-0.0666666666666701,1.0
sub-002,p5,m4,,5,66000.0,stimuli/p5.png,stimuli/m4.png,right,m,1.0,m,0.7706639999996696,1.0,7.0,decision,205.0,305.0,415.0,530.0,660.0,700.0,1.5,4,0.7706639999996696,1.0,sub-002,P,high_OV,low_abs,h_OV_h_pain,low_abs_h_pain,1.5,4,4,1.166666666666662,-2.833333333333337,1.0
sub-002,p1,m2,,1,20500.0,stimuli/p1.png,stimuli/m2.png,right,m,1.0,m,0.6876931999995577,1.0,8.0,decision,205.0,305.0,415.0,530.0,660.0,700.0,1.5,2,0.6876931999995577,1.0,sub-002,M,low_OV,low_abs,low_OV_h_money,low_abs_h_money,1.5,2,2,0.2333333333333325,-1.766666666666667,1.0
sub-002,p4,m4,,4,53000.0,stimuli/p4.png,stimuli/m4.png,right,m,1.0,m,0.6642520000004879,1.0,9.0,decision,205.0,305.0,415.0,530.0,660.0,700.0,2.0,4,0.6642520000004879,1.0,sub-002,I,high_OV,low_abs,h_OV_h_pain,low_abs_h_pain,2.0,4,4,0.9333333333333299,-3.06666666666667,1.0
sub-002,p4,m5,,4,53000.0,stimuli/p4.png,stimuli/m5.png,right,m,1.0,m,0.6768885999990744,1.0,10.0,decision,205.0,305.0,415.0,530.0,660.0,700.0,1.8,5,0.6768885999990744,1.0,sub-002,M,high_OV,low_abs,h_OV_h_money,low_abs_h_money,1.8,5,5,0.9333333333333299,-4.06666666666667,1.0
sub-002,p1,m4,,1,20500.0,stimuli/m4.png,stimuli/p1.png,right,m,1.0,m,0.5704630000000179,1.0,11.0,decision,205.0,305.0,415.0,530.0,660.0,700.0,1.8,4,0.5704630000000179,1.0,sub-002,M,low_OV,high_abs,low_OV_h_money,high_abs_h_money,1.8,4,4,0.2333333333333325,-3.766666666666667,1.0
sub-002,p3,m5,,3,41500.0,stimuli/p3.png,stimuli/m5.png,right,m,1.0,m,0.6061291999994864,1.0,12.0,decision,205.0,305.0,415.0,530.0,660.0,700.0,1.9,5,0.6061291999994864,1.0,sub-002,M,high_OV,mid_abs,h_OV_h_money,mid_abs,1.9,5,5,0.6999999999999974,-4.300000000000002,1.0
