participant;painstim;moneystim;all_trials_rewards;painlevel;painlevel_J;leftstim;rightstim;acceptside;acceptkey;accepted;choice_resp.keys;choice_resp.rt;blocks.thisRepN;trials.thisN;TaskName;P1;P2;P3;P4;P5;fail_ma;fixduration;moneylevel
sub-002;p3;m3;;3.0;41500.0;stimuli/p3.png;stimuli/m3.png;right;m;1.0;m;1.0968819999998232;3.0;2.0;decision;205.0;305.0;415.0;530.0;660.0;700.0;1.8;3.0
sub-002;p2;m3;;2.0;30500.0;stimuli/p2.png;stimuli/m3.png;right;m;1.0;m;0.8422852000003331;3.0;3.0;decision;205.0;305.0;415.0;530.0;660.0;700.0;1.6;3.0
sub-002;p4;m1;;4.0;53000.0;stimuli/m1.png;stimuli/p4.png;right;m;1.0;m;1.1118544000000838;3.0;4.0;decision;205.0;305.0;415.0;530.0;660.0;700.0;1.7;1.0
sub-002;p3;m5;;3.0;41500.0;stimuli/p3.png;stimuli/m5.png;right;m;1.0;m;0.9033259000007092;3.0;5.0;decision;205.0;305.0;415.0;530.0;660.0;700.0;1.9;5.0
sub-002;p1;m3;;1.0;20500.0;stimuli/p1.png;stimuli/m3.png;right;m;1.0;m;1.2235259000008227;3.0;6.0;decision;205.0;305.0;415.0;530.0;660.0;700.0;1.5;3.0
sub-002;p1;m5;;1.0;20500.0;stimuli/m5.png;stimuli/p1.png;right;m;1.0;m;0.7473749999990105;3.0;7.0;decision;205.0;305.0;415.0;530.0;660.0;700.0;1.9;5.0
sub-002;p4;m3;;4.0;53000.0;stimuli/m3.png;stimuli/p4.png;right;m;1.0;m;0.6583551999992778;3.0;8.0;decision;205.0;305.0;415.0;530.0;660.0;700.0;1.8;3.0
sub-002;p4;m2;;4.0;53000.0;stimuli/m2.png;stimuli/p4.png;right;m;1.0;m;1.0008488999992549;3.0;9.0;decision;205.0;305.0;415.0;530.0;660.0;700.0;1.7;2.0
sub-002;p5;m5;;5.0;66000.0;stimuli/m5.png;stimuli/p5.png;right;m;1.0;m;0.7246494000009989;3.0;10.0;decision;205.0;305.0;415.0;530.0;660.0;700.0;2.0;5.0
sub-002;p3;m1;;3.0;41500.0;stimuli/p3.png;stimuli/m1.png;right;m;1.0;m;0.9659451000006812;3.0;11.0;decision;205.0;305.0;415.0;530.0;660.0;700.0;2.0;1.0
sub-002;p2;m2;;2.0;30500.0;stimuli/p2.png;stimuli/m2.png;right;m;1.0;m;0.8002789999991364;3.0;12.0;decision;205.0;305.0;415.0;530.0;660.0;700.0;1.9;2.0
sub-002;p5;m1;;5.0;66000.0;stimuli/p5.png;stimuli/m1.png;right;m;1.0;m;0.6502927999990789;3.0;13.0;decision;205.0;305.0;415.0;530.0;660.0;700.0;2.0;1.0
sub-002;p2;m5;;2.0;30500.0;stimuli/m5.png;stimuli/p2.png;right;m;1.0;m;0.6896688999986509;3.0;14.0;decision;205.0;305.0;415.0;530.0;660.0;700.0;2.0;5.0
sub-002;p4;m4;;4.0;53000.0;stimuli/p4.png;stimuli/m4.png;right;m;1.0;m;1.1721199000003253;3.0;15.0;decision;205.0;305.0;415.0;530.0;660.0;700.0;1.8;4.0
sub-002;p2;m1;;2.0;30500.0;stimuli/m1.png;stimuli/p2.png;right;m;1.0;m;0.5866513000000849;3.0;16.0;decision;205.0;305.0;415.0;530.0;660.0;700.0;1.5;1.0
sub-002;p3;m2;;3.0;41500.0;stimuli/m2.png;stimuli/p3.png;right;m;1.0;m;0.7892116999992141;3.0;17.0;decision;205.0;305.0;415.0;530.0;660.0;700.0;1.7;2.0
sub-002;p1;m2;;1.0;20500.0;stimuli/p1.png;stimuli/m2.png;right;m;1.0;m;0.5667936999998346;3.0;18.0;decision;205.0;305.0;415.0;530.0;660.0;700.0;1.6;2.0
sub-002;p2;m4;;2.0;30500.0;stimuli/p2.png;stimuli/m4.png;right;m;1.0;m;0.4936348999999609;3.0;19.0;decision;205.0;305.0;415.0;530.0;660.0;700.0;1.7;4.0
sub-002;p5;m2;;5.0;66000.0;stimuli/m2.png;stimuli/p5.png;right;m;1.0;m;0.809183800000028;3.0;20.0;decision;205.0;305.0;415.0;530.0;660.0;700.0;1.5;2.0
sub-002;p4;m5;;4.0;53000.0;stimuli/p4.png;stimuli/m5.png;right;m;1.0;m;1.0006483000015578;3.0;21.0;decision;205.0;305.0;415.0;530.0;660.0;700.0;1.8;5.0
sub-002;p1;m4;;1.0;20500.0;stimuli/m4.png;stimuli/p1.png;right;m;1.0;m;0.7201496999987285;3.0;22.0;decision;205.0;305.0;415.0;530.0;660.0;700.0;2.0;4.0
sub-002;p5;m4;;5.0;66000.0;stimuli/p5.png;stimuli/m4.png;right;m;1.0;m;0.7082707999998092;3.0;23.0;decision;205.0;305.0;415.0;530.0;660.0;700.0;1.8;4.0
sub-002;p1;m1;;1.0;20500.0;stimuli/p1.png;stimuli/m1.png;right;m;1.0;m;0.7113503000000492;3.0;24.0;decision;205.0;305.0;415.0;530.0;660.0;700.0;1.9;1.0
sub-002;p4;m1;;4.0;53000.0;stimuli/m1.png;stimuli/p4.png;right;m;1.0;m;0.8221876999996311;4.0;0.0;decision;205.0;305.0;415.0;530.0;660.0;700.0;1.5;1.0
