,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
p_pain[2741],0.992,0.007,0.98,1.0,0.0,0.0,8952.0,6204.0,1.0
p_pain[2742],0.979,0.014,0.954,0.997,0.0,0.0,9783.0,6094.0,1.0
p_pain[2743],0.765,0.035,0.698,0.83,0.0,0.0,9209.0,6052.0,1.0
p_pain[2744],0.885,0.034,0.825,0.95,0.0,0.0,9656.0,6252.0,1.0
p_pain[2745],0.989,0.009,0.973,0.999,0.0,0.0,9209.0,6052.0,1.0
p_pain[2746],0.501,0.04,0.426,0.577,0.0,0.0,9771.0,5612.0,1.0
p_pain[2747],0.921,0.03,0.867,0.973,0.0,0.0,9027.0,6153.0,1.0
p_pain[2748],0.572,0.104,0.386,0.77,0.001,0.001,10228.0,5738.0,1.0
p_pain[2749],0.975,0.015,0.947,0.997,0.0,0.0,8974.0,6129.0,1.0
p_pain[2750],0.983,0.012,0.962,0.999,0.0,0.0,10431.0,5936.0,1.0
p_pain[2751],0.944,0.031,0.888,0.99,0.0,0.0,12174.0,5722.0,1.0
p_pain[2752],0.998,0.003,0.993,1.0,0.0,0.0,8939.0,6204.0,1.0
p_pain[2753],0.993,0.006,0.983,1.0,0.0,0.0,9558.0,5951.0,1.0
p_pain[2754],0.273,0.098,0.105,0.46,0.001,0.001,8710.0,4805.0,1.0
p_pain[2755],0.268,0.07,0.142,0.401,0.001,0.001,8528.0,4771.0,1.0
p_pain[2756],0.574,0.068,0.445,0.699,0.001,0.0,10509.0,5879.0,1.0
p_pain[2757],0.832,0.048,0.743,0.92,0.0,0.0,12382.0,5815.0,1.0
p_pain[2758],0.946,0.026,0.898,0.988,0.0,0.0,11284.0,5808.0,1.0
p_pain[2759],0.099,0.058,0.015,0.208,0.001,0.001,8247.0,4654.0,1.0
p_pain[2760],0.79,0.041,0.712,0.863,0.0,0.0,11823.0,5815.0,1.0
p_pain[2761],0.678,0.029,0.626,0.732,0.0,0.0,11284.0,5808.0,1.0
p_pain[2762],0.946,0.026,0.898,0.988,0.0,0.0,11284.0,5808.0,1.0
p_pain[2763],0.993,0.006,0.983,1.0,0.0,0.0,9558.0,5951.0,1.0
p_pain[2764],0.975,0.015,0.947,0.997,0.0,0.0,8974.0,6129.0,1.0
p_pain[2765],0.828,0.066,0.707,0.942,0.001,0.0,12089.0,5832.0,1.0
p_pain[2766],0.79,0.041,0.712,0.863,0.0,0.0,11823.0,5815.0,1.0
p_pain[2767],0.574,0.068,0.445,0.699,0.001,0.0,10509.0,5879.0,1.0
p_pain[2768],0.501,0.04,0.426,0.577,0.0,0.0,9771.0,5612.0,1.0
p_pain[2769],0.572,0.104,0.386,0.77,0.001,0.001,10228.0,5738.0,1.0
p_pain[2770],0.099,0.058,0.015,0.208,0.001,0.001,8247.0,4654.0,1.0
p_pain[2771],0.765,0.035,0.698,0.83,0.0,0.0,9209.0,6052.0,1.0
p_pain[2772],0.944,0.031,0.888,0.99,0.0,0.0,12174.0,5722.0,1.0
p_pain[2773],0.921,0.03,0.867,0.973,0.0,0.0,9027.0,6153.0,1.0
p_pain[2774],0.268,0.07,0.142,0.401,0.001,0.001,8528.0,4771.0,1.0
p_pain[2775],0.931,0.028,0.879,0.978,0.0,0.0,10276.0,6100.0,1.0
p_pain[2776],0.983,0.012,0.962,0.999,0.0,0.0,10431.0,5936.0,1.0
p_pain[2777],0.678,0.029,0.626,0.732,0.0,0.0,11284.0,5808.0,1.0
p_pain[2778],0.979,0.014,0.954,0.997,0.0,0.0,9783.0,6094.0,1.0
p_pain[2779],0.992,0.007,0.98,1.0,0.0,0.0,8952.0,6204.0,1.0
p_pain[2780],0.964,0.019,0.928,0.993,0.0,0.0,9337.0,6150.0,1.0
p_pain[2781],0.998,0.003,0.993,1.0,0.0,0.0,8939.0,6204.0,1.0
p_pain[2782],0.989,0.009,0.973,0.999,0.0,0.0,9209.0,6052.0,1.0
p_pain[2783],0.885,0.034,0.825,0.95,0.0,0.0,9656.0,6252.0,1.0
p_pain[2784],0.273,0.098,0.105,0.46,0.001,0.001,8710.0,4805.0,1.0
p_pain[2785],0.832,0.048,0.743,0.92,0.0,0.0,12382.0,5815.0,1.0
p_pain[2786],0.996,0.004,0.99,1.0,0.0,0.0,9131.0,6125.0,1.0
p_pain[2787],0.678,0.029,0.626,0.732,0.0,0.0,11284.0,5808.0,1.0
p_pain[2788],0.79,0.041,0.712,0.863,0.0,0.0,11823.0,5815.0,1.0
p_pain[2789],0.998,0.003,0.993,1.0,0.0,0.0,8939.0,6204.0,1.0
p_pain[2790],0.979,0.014,0.954,0.997,0.0,0.0,9783.0,6094.0,1.0
p_pain[2791],0.832,0.048,0.743,0.92,0.0,0.0,12382.0,5815.0,1.0
p_pain[2792],0.975,0.015,0.947,0.997,0.0,0.0,8974.0,6129.0,1.0
p_pain[2793],0.501,0.04,0.426,0.577,0.0,0.0,9771.0,5612.0,1.0
p_pain[2794],0.828,0.066,0.707,0.942,0.001,0.0,12089.0,5832.0,1.0
p_pain[2795],0.931,0.028,0.879,0.978,0.0,0.0,10276.0,6100.0,1.0
p_pain[2796],0.992,0.007,0.98,1.0,0.0,0.0,8952.0,6204.0,1.0
p_pain[2797],0.989,0.009,0.973,0.999,0.0,0.0,9209.0,6052.0,1.0
p_pain[2798],0.273,0.098,0.105,0.46,0.001,0.001,8710.0,4805.0,1.0
p_pain[2799],0.993,0.006,0.983,1.0,0.0,0.0,9558.0,5951.0,1.0
p_pain[2800],0.099,0.058,0.015,0.208,0.001,0.001,8247.0,4654.0,1.0
p_pain[2801],0.944,0.031,0.888,0.99,0.0,0.0,12174.0,5722.0,1.0
p_pain[2802],0.964,0.019,0.928,0.993,0.0,0.0,9337.0,6150.0,1.0
p_pain[2803],0.983,0.012,0.962,0.999,0.0,0.0,10431.0,5936.0,1.0
p_pain[2804],0.921,0.03,0.867,0.973,0.0,0.0,9027.0,6153.0,1.0
p_pain[2805],0.996,0.004,0.99,1.0,0.0,0.0,9131.0,6125.0,1.0
p_pain[2806],0.574,0.068,0.445,0.699,0.001,0.0,10509.0,5879.0,1.0
p_pain[2807],0.268,0.07,0.142,0.401,0.001,0.001,8528.0,4771.0,1.0
p_pain[2808],0.885,0.034,0.825,0.95,0.0,0.0,9656.0,6252.0,1.0
p_pain[2809],0.572,0.104,0.386,0.77,0.001,0.001,10228.0,5738.0,1.0
p_pain[2810],0.946,0.026,0.898,0.988,0.0,0.0,11284.0,5808.0,1.0
p_pain[2811],0.765,0.035,0.698,0.83,0.0,0.0,9209.0,6052.0,1.0
p_pain[2812],0.964,0.019,0.928,0.993,0.0,0.0,9337.0,6150.0,1.0
p_pain[2813],0.828,0.066,0.707,0.942,0.001,0.0,12089.0,5832.0,1.0
p_pain[2814],0.832,0.048,0.743,0.92,0.0,0.0,12382.0,5815.0,1.0
p_pain[2815],0.975,0.015,0.947,0.997,0.0,0.0,8974.0,6129.0,1.0
p_pain[2816],0.572,0.104,0.386,0.77,0.001,0.001,10228.0,5738.0,1.0
p_pain[2817],0.998,0.003,0.993,1.0,0.0,0.0,8939.0,6204.0,1.0
p_pain[2818],0.983,0.012,0.962,0.999,0.0,0.0,10431.0,5936.0,1.0
p_pain[2819],0.79,0.041,0.712,0.863,0.0,0.0,11823.0,5815.0,1.0
p_pain[2820],0.993,0.006,0.983,1.0,0.0,0.0,9558.0,5951.0,1.0
p_pain[2821],0.501,0.04,0.426,0.577,0.0,0.0,9771.0,5612.0,1.0
p_pain[2822],0.979,0.014,0.954,0.997,0.0,0.0,9783.0,6094.0,1.0
p_pain[2823],0.931,0.028,0.879,0.978,0.0,0.0,10276.0,6100.0,1.0
p_pain[2824],0.678,0.029,0.626,0.732,0.0,0.0,11284.0,5808.0,1.0
p_pain[2825],0.992,0.007,0.98,1.0,0.0,0.0,8952.0,6204.0,1.0
p_pain[2826],0.099,0.058,0.015,0.208,0.001,0.001,8247.0,4654.0,1.0
p_pain[2827],0.765,0.035,0.698,0.83,0.0,0.0,9209.0,6052.0,1.0
p_pain[2828],0.885,0.034,0.825,0.95,0.0,0.0,9656.0,6252.0,1.0
p_pain[2829],0.273,0.098,0.105,0.46,0.001,0.001,8710.0,4805.0,1.0
p_pain[2830],0.574,0.068,0.445,0.699,0.001,0.0,10509.0,5879.0,1.0
p_pain[2831],0.921,0.03,0.867,0.973,0.0,0.0,9027.0,6153.0,1.0
p_pain[2832],0.996,0.004,0.99,1.0,0.0,0.0,9131.0,6125.0,1.0
p_pain[2833],0.944,0.031,0.888,0.99,0.0,0.0,12174.0,5722.0,1.0
p_pain[2834],0.946,0.026,0.898,0.988,0.0,0.0,11284.0,5808.0,1.0
p_pain[2835],0.989,0.009,0.973,0.999,0.0,0.0,9209.0,6052.0,1.0
p_pain[2836],0.268,0.07,0.142,0.401,0.001,0.001,8528.0,4771.0,1.0
p_pain[2837],1.0,0.001,0.999,1.0,0.0,0.0,10430.0,5763.0,1.0
p_pain[2838],0.883,0.044,0.801,0.959,0.0,0.0,9801.0,5937.0,1.0
